Date,Open,High,Low,Close,Volume
7-Oct-16,177.88,178.27,176.83,177.32,-
6-Oct-16,178.50,179.26,177.33,177.98,-
5-Oct-16,180.08,180.11,177.67,178.44,-
4-Oct-16,180.96,181.14,180.18,180.50,-
3-Oct-16,178.40,180.55,178.40,180.55,-
30-Sep-16,178.87,179.66,176.93,176.93,-
29-Sep-16,179.34,180.78,179.24,179.90,-
28-Sep-16,177.74,179.02,177.33,178.74,-
27-Sep-16,175.40,178.25,174.45,178.25,-
26-Sep-16,176.58,176.89,175.35,176.01,-
23-Sep-16,177.12,177.56,176.26,177.56,-
22-Sep-16,177.71,178.77,176.83,177.20,-
21-Sep-16,174.39,176.55,173.68,176.32,-
20-Sep-16,175.16,175.84,174.47,174.56,-
19-Sep-16,173.60,175.58,173.60,175.24,-
16-Sep-16,174.74,175.36,172.34,172.87,-
15-Sep-16,169.66,174.24,169.64,173.99,-
14-Sep-16,171.45,171.49,168.81,169.46,-
13-Sep-16,174.35,174.36,172.12,172.18,-
9-Sep-16,177.32,177.47,174.68,174.87,-
8-Sep-16,178.58,178.61,177.63,177.75,-
7-Sep-16,178.51,178.92,177.41,178.37,-
6-Sep-16,178.09,178.45,177.19,178.27,-
5-Sep-16,178.20,179.11,177.42,177.80,-
2-Sep-16,176.58,177.80,176.46,177.53,-
1-Sep-16,177.72,178.08,176.06,176.60,-
31-Aug-16,177.30,178.69,177.26,178.66,-
30-Aug-16,177.49,178.40,176.48,177.47,-
29-Aug-16,179.86,180.02,176.54,177.24,-
26-Aug-16,180.29,180.43,179.44,180.20,-
25-Aug-16,178.61,180.32,178.51,180.32,-
24-Aug-16,178.85,178.90,177.53,178.36,-
23-Aug-16,179.86,179.99,176.30,179.13,-
22-Aug-16,178.91,179.66,178.46,179.32,-
19-Aug-16,180.88,181.13,178.29,178.29,-
18-Aug-16,178.07,180.82,177.98,180.62,-
16-Aug-16,176.25,177.51,176.01,177.32,-
15-Aug-16,178.40,178.57,174.68,175.53,-
12-Aug-16,180.58,180.98,177.78,178.23,-
11-Aug-16,180.56,181.52,179.21,180.01,-
10-Aug-16,180.51,181.09,179.47,180.35,-
9-Aug-16,180.62,181.26,180.13,180.52,-
8-Aug-16,179.20,180.63,179.18,180.63,-
5-Aug-16,178.11,179.03,177.91,178.94,-
4-Aug-16,177.32,178.34,176.94,177.80,-
3-Aug-16,177.48,178.30,176.62,176.90,-
2-Aug-16,177.80,178.80,177.54,177.55,-
1-Aug-16,175.52,178.31,175.52,178.22,-
29-Jul-16,175.97,177.58,173.74,173.74,-
28-Jul-16,174.89,176.16,174.32,176.16,-
27-Jul-16,173.31,175.31,173.31,174.63,-
26-Jul-16,171.88,172.61,171.45,172.30,-
25-Jul-16,170.40,171.93,170.29,171.93,-
22-Jul-16,170.43,170.45,169.46,170.13,-
21-Jul-16,171.78,172.20,170.22,170.32,-
20-Jul-16,170.99,171.86,170.96,171.86,-
19-Jul-16,170.42,171.80,170.39,170.78,-
18-Jul-16,169.00,170.03,168.64,169.98,-
15-Jul-16,167.79,169.58,167.79,168.92,-
14-Jul-16,169.29,169.58,167.67,167.93,-
13-Jul-16,168.30,170.01,167.99,170.01,-
12-Jul-16,168.20,168.89,166.85,167.86,-
11-Jul-16,165.94,168.29,165.92,167.35,-
1-Jul-16,166.29,166.48,164.28,164.45,-
30-Jun-16,165.35,166.36,165.28,165.94,-
29-Jun-16,162.41,164.81,162.41,164.81,-
28-Jun-16,160.59,161.90,160.59,161.46,-
27-Jun-16,159.13,160.92,158.71,160.56,-
24-Jun-16,161.88,162.06,157.36,160.01,-
23-Jun-16,162.14,162.34,161.02,161.64,-
22-Jun-16,161.36,162.42,161.36,162.37,-
21-Jun-16,161.24,161.90,161.00,161.29,-
20-Jun-16,160.34,160.80,159.56,160.80,-
17-Jun-16,159.26,159.95,158.72,159.95,-
16-Jun-16,159.28,159.60,158.52,158.82,-
15-Jun-16,158.09,159.31,157.91,159.31,-
14-Jun-16,157.58,158.60,157.25,158.39,-
13-Jun-16,158.30,158.63,157.90,157.90,-
10-Jun-16,160.03,160.22,158.92,158.92,-
9-Jun-16,160.79,161.03,159.84,159.84,-
8-Jun-16,161.38,161.73,159.52,160.65,-
7-Jun-16,160.32,161.47,160.32,161.47,-
6-Jun-16,158.52,160.02,158.46,160.02,-
3-Jun-16,157.91,158.77,157.70,158.19,-
2-Jun-16,157.33,158.26,157.20,157.23,-
1-Jun-16,156.65,157.99,156.61,157.50,-
31-May-16,157.27,157.64,156.23,156.35,-
30-May-16,157.67,158.34,157.54,157.54,-
27-May-16,156.25,157.68,155.96,157.68,-
26-May-16,156.29,156.46,155.64,156.34,-
25-May-16,154.35,156.04,154.33,155.99,-
24-May-16,154.22,154.71,153.44,153.49,-
23-May-16,153.40,154.35,153.40,154.32,-
20-May-16,153.08,153.78,152.84,153.29,-
19-May-16,154.18,154.33,152.61,153.22,-
18-May-16,153.67,154.56,153.48,154.37,-
17-May-16,153.68,154.14,153.29,153.77,-
16-May-16,154.21,154.57,152.79,153.20,-
13-May-16,156.21,156.28,153.74,154.33,-
12-May-16,156.25,157.32,155.99,156.13,-
11-May-16,155.45,156.81,155.24,156.34,-
10-May-16,154.58,154.93,153.80,154.84,-
9-May-16,156.48,156.94,154.43,154.43,-
4-May-16,155.83,156.63,154.38,156.63,-
3-May-16,156.26,156.68,155.58,155.85,-
2-May-16,156.78,157.12,154.94,155.93,-
29-Apr-16,157.75,157.76,156.79,157.46,-
28-Apr-16,159.02,159.49,157.23,157.99,-
27-Apr-16,158.31,158.79,157.71,158.77,-
26-Apr-16,160.49,160.51,158.12,158.95,-
25-Apr-16,162.16,162.16,160.26,160.74,-
22-Apr-16,161.53,162.43,160.97,161.65,-
21-Apr-16,161.28,162.00,161.08,161.79,-
20-Apr-16,160.70,161.21,160.42,160.92,-
19-Apr-16,160.13,160.92,159.97,160.88,-
18-Apr-16,158.34,159.51,157.38,159.51,-
15-Apr-16,157.66,158.48,156.89,158.48,-
14-Apr-16,158.77,158.85,156.74,156.74,-
13-Apr-16,157.54,158.16,157.16,158.16,-
12-Apr-16,155.58,157.10,155.25,157.10,-
11-Apr-16,156.63,157.31,154.79,155.58,-
8-Apr-16,156.17,157.34,156.07,157.26,-
7-Apr-16,157.42,158.01,156.88,157.10,-
6-Apr-16,156.16,156.95,156.15,156.89,-
5-Apr-16,156.98,157.14,156.26,156.30,-
4-Apr-16,156.56,157.20,156.47,157.15,-
1-Apr-16,156.12,156.43,155.52,156.43,-
31-Mar-16,155.78,156.06,154.80,155.91,-
30-Mar-16,154.62,155.94,154.57,155.34,-
29-Mar-16,153.63,154.56,153.31,153.90,-
28-Mar-16,154.99,155.16,153.34,153.91,-
24-Mar-16,155.63,156.25,155.18,155.56,-
23-Mar-16,156.82,156.94,155.48,156.41,-
22-Mar-16,157.18,157.80,156.00,157.22,-
21-Mar-16,157.45,158.64,157.14,157.63,-
18-Mar-16,158.05,158.76,157.48,157.96,-
17-Mar-16,156.99,157.67,156.74,157.61,-
16-Mar-16,155.38,156.17,155.08,156.17,-
15-Mar-16,156.73,156.95,155.26,155.41,-
14-Mar-16,155.08,156.80,154.99,156.80,-
11-Mar-16,153.17,154.16,153.08,154.16,-
10-Mar-16,153.04,153.35,151.92,153.35,-
8-Mar-16,153.80,154.47,152.03,153.31,-
7-Mar-16,154.65,154.95,153.40,153.84,-
4-Mar-16,154.77,155.14,152.65,154.44,-
3-Mar-16,155.14,155.46,153.64,154.53,-
2-Mar-16,153.21,154.58,153.21,154.58,-
1-Mar-16,151.02,152.38,150.98,152.31,-
29-Feb-16,150.23,151.67,149.48,151.15,-
26-Feb-16,148.75,150.12,148.17,150.00,-
25-Feb-16,147.26,147.77,146.72,147.38,-
24-Feb-16,146.70,147.17,145.60,146.78,-
23-Feb-16,149.43,149.59,146.00,147.19,-
22-Feb-16,148.62,149.20,148.32,149.03,-
19-Feb-16,150.72,150.75,147.87,148.79,-
18-Feb-16,150.87,151.54,150.09,150.87,-
17-Feb-16,149.20,150.46,149.18,150.20,-
16-Feb-16,149.19,150.00,148.60,149.35,-
15-Feb-16,149.42,149.97,148.62,149.07,-
12-Feb-16,149.85,150.26,148.15,148.35,-
11-Feb-16,148.79,151.14,148.74,150.70,-
10-Feb-16,148.68,149.91,148.57,148.88,-
9-Feb-16,149.22,149.61,147.72,149.29,-
5-Feb-16,147.14,150.44,147.07,150.33,-
4-Feb-16,144.91,147.18,144.91,146.79,-
3-Feb-16,142.50,144.63,142.26,144.52,-
2-Feb-16,143.72,144.76,143.42,143.42,-
1-Feb-16,144.98,145.50,143.37,144.42,-
29-Jan-16,144.40,144.89,143.25,144.88,-
28-Jan-16,143.52,144.01,142.92,144.01,-
27-Jan-16,142.10,143.46,141.81,143.46,-
26-Jan-16,141.06,141.59,140.78,141.59,-
25-Jan-16,141.71,142.34,141.32,141.63,-
22-Jan-16,140.56,140.79,139.49,140.71,-
21-Jan-16,140.20,140.70,138.86,139.19,-
20-Jan-16,140.77,141.28,139.42,139.42,-
19-Jan-16,140.74,141.46,140.20,141.26,-
18-Jan-16,140.45,141.06,140.08,140.41,-
15-Jan-16,142.23,143.03,141.67,141.88,-
14-Jan-16,141.78,142.89,140.24,141.78,-
13-Jan-16,143.38,144.23,143.18,143.33,-
12-Jan-16,141.53,142.96,141.53,142.48,-
11-Jan-16,142.41,142.49,140.70,140.84,-
8-Jan-16,143.30,143.92,142.09,143.52,-
7-Jan-16,144.54,144.72,143.36,143.36,-
6-Jan-16,143.91,146.91,143.75,145.87,-
5-Jan-16,142.44,144.54,142.40,143.38,-
4-Jan-16,144.64,145.10,142.36,142.36,-
30-Dec-15,143.96,145.18,143.93,145.06,-
29-Dec-15,143.07,143.71,143.07,143.71,-
28-Dec-15,141.90,143.55,141.69,143.22,-
23-Dec-15,142.11,142.37,141.17,142.01,-
22-Dec-15,141.65,142.29,141.11,142.24,-
21-Dec-15,140.00,141.55,139.84,141.47,-
18-Dec-15,141.09,141.32,140.15,140.65,-
17-Dec-15,141.58,142.77,140.98,142.77,-
16-Dec-15,139.14,139.40,138.03,139.40,-
15-Dec-15,136.10,137.50,136.05,137.50,-
14-Dec-15,135.76,136.24,134.45,136.21,-
11-Dec-15,139.64,139.76,136.50,136.50,-
10-Dec-15,139.00,140.02,138.82,139.19,-
8-Dec-15,141.12,141.66,139.66,139.66,-
7-Dec-15,142.22,143.02,141.91,142.09,-
4-Dec-15,141.49,142.62,141.35,141.57,-
3-Dec-15,142.18,143.36,141.95,142.53,-
2-Dec-15,143.12,143.62,142.67,142.93,-
1-Dec-15,141.58,143.17,141.58,143.17,-
30-Nov-15,142.37,142.45,139.80,139.80,-
27-Nov-15,144.28,144.72,142.64,143.65,-
26-Nov-15,143.93,144.72,143.61,144.11,-
25-Nov-15,143.14,143.67,143.03,143.67,-
24-Nov-15,143.19,143.56,142.71,142.77,-
23-Nov-15,144.63,145.28,142.93,142.93,-
20-Nov-15,142.73,144.33,142.56,144.33,-
19-Nov-15,142.53,143.10,142.36,142.63,-
18-Nov-15,141.47,142.35,141.02,141.73,-
17-Nov-15,140.83,141.71,140.83,141.12,-
16-Nov-15,139.96,140.37,138.53,139.71,-
13-Nov-15,139.86,141.64,139.56,141.04,-
12-Nov-15,141.06,141.79,140.57,140.57,-
11-Nov-15,140.54,141.21,139.85,140.80,-
10-Nov-15,140.87,142.79,140.49,140.49,-
9-Nov-15,143.86,143.87,141.34,141.99,-
6-Nov-15,144.68,145.26,144.24,144.31,-
5-Nov-15,145.22,145.64,144.37,144.65,-
4-Nov-15,144.23,145.73,144.20,145.73,-
3-Nov-15,142.86,143.87,142.86,143.51,-
2-Nov-15,140.65,142.12,140.46,142.12,-
30-Oct-15,140.82,141.72,140.17,140.96,-
29-Oct-15,145.33,145.42,140.92,140.92,-
28-Oct-15,146.67,146.88,144.92,145.41,-
27-Oct-15,147.19,147.30,145.59,147.30,-
26-Oct-15,147.62,148.07,147.28,147.97,-
23-Oct-15,147.25,147.84,146.16,147.01,-
22-Oct-15,146.20,146.24,144.67,144.97,-
21-Oct-15,145.91,147.43,145.48,146.20,-
20-Oct-15,145.08,146.58,145.02,145.50,-
19-Oct-15,143.99,145.24,143.93,145.24,-
16-Oct-15,143.87,144.45,142.78,143.57,-
15-Oct-15,142.99,144.57,142.96,142.96,-
13-Oct-15,146.79,146.80,142.00,142.00,-
12-Oct-15,146.18,147.24,146.06,147.06,-
9-Oct-15,144.60,147.10,144.60,145.95,-
8-Oct-15,143.54,144.76,142.61,142.95,-
7-Oct-15,141.88,143.22,140.56,143.12,-
6-Oct-15,139.88,142.54,139.88,141.78,-
5-Oct-15,135.20,138.72,135.18,138.48,-
2-Oct-15,135.57,135.77,134.27,134.27,-
1-Oct-15,134.54,136.32,134.41,136.02,0
30-Sep-15,133.67,134.39,132.76,134.39,0
29-Sep-15,129.94,133.53,128.40,133.53,0
28-Sep-15,134.06,134.16,131.61,131.61,0
25-Sep-15,135.87,136.14,134.12,134.60,0
23-Sep-15,137.20,137.22,135.29,135.39,0
22-Sep-15,139.98,140.27,138.10,138.34,0
21-Sep-15,138.80,139.90,138.56,139.66,0
18-Sep-15,139.71,140.88,138.74,139.71,0
17-Sep-15,138.52,139.62,138.29,139.51,0
16-Sep-15,139.22,139.57,137.90,138.09,0
15-Sep-15,140.02,140.06,138.32,138.61,0
14-Sep-15,140.03,140.54,139.61,140.53,0
11-Sep-15,138.96,139.97,138.88,139.42,0
10-Sep-15,136.40,138.16,135.71,138.16,0
9-Sep-15,137.33,138.06,136.63,137.76,0
8-Sep-15,135.12,136.56,134.57,136.32,0
7-Sep-15,139.66,139.70,135.57,135.86,0
4-Sep-15,140.74,141.14,139.98,140.39,0
3-Sep-15,140.19,141.17,139.34,140.96,0
2-Sep-15,138.11,139.87,137.37,139.19,0
1-Sep-15,141.58,141.63,139.54,139.58,0
31-Aug-15,140.11,142.31,139.88,142.31,0
28-Aug-15,140.86,141.79,139.24,139.80,0
27-Aug-15,134.82,139.47,134.82,139.32,0
26-Aug-15,132.47,133.33,130.68,133.22,0
25-Aug-15,132.25,136.25,131.86,133.66,0
24-Aug-15,134.86,134.90,129.84,132.04,0
21-Aug-15,140.36,140.36,138.02,138.02,0
20-Aug-15,142.21,142.41,141.00,141.44,0
19-Aug-15,143.11,144.20,142.45,142.67,0
18-Aug-15,145.39,145.61,143.63,143.67,0
14-Aug-15,145.55,146.23,144.54,145.88,0
13-Aug-15,141.95,146.22,141.95,145.69,0
12-Aug-15,145.26,145.27,141.05,141.49,0
11-Aug-15,151.24,151.63,146.66,146.66,0
10-Aug-15,151.63,151.72,150.08,150.90,0
7-Aug-15,152.59,152.81,151.32,151.77,0
6-Aug-15,154.66,154.79,152.46,152.46,0
5-Aug-15,153.20,154.55,152.97,154.55,0
4-Aug-15,152.61,153.58,152.55,152.89,0
3-Aug-15,153.57,154.08,152.73,153.41,0
31-Jul-15,152.26,154.60,152.19,154.50,0
30-Jul-15,152.63,153.02,151.80,151.96,0
29-Jul-15,152.40,153.59,152.04,152.04,0
28-Jul-15,152.29,152.62,151.71,151.77,0
27-Jul-15,154.69,155.25,152.68,152.68,0
24-Jul-15,156.73,156.78,155.32,155.51,0
23-Jul-15,157.06,157.42,156.87,157.23,0
22-Jul-15,157.12,157.56,156.17,157.48,0
15-Jul-15,157.20,157.50,155.99,156.77,0
14-Jul-15,157.81,158.32,157.03,157.37,0
13-Jul-15,156.20,157.21,155.88,157.18,0
10-Jul-15,156.07,156.75,155.40,155.84,0
9-Jul-15,156.09,156.17,154.41,155.29,0
8-Jul-15,158.41,158.41,156.49,156.72,0
7-Jul-15,158.49,158.80,157.17,157.94,0
6-Jul-15,159.32,159.78,158.33,158.43,0
3-Jul-15,158.61,160.47,158.61,160.47,0
2-Jul-15,157.95,159.54,157.95,158.84,0
1-Jul-15,158.47,158.78,157.42,157.42,0
30-Jun-15,156.82,158.53,156.57,157.92,0
29-Jun-15,157.76,157.78,156.34,156.86,0
26-Jun-15,158.78,159.28,157.91,158.47,0
25-Jun-15,159.67,159.75,158.82,158.82,0
24-Jun-15,159.13,160.04,159.05,160.04,0
23-Jun-15,159.20,159.90,158.21,158.21,0
22-Jun-15,160.07,160.08,158.90,158.90,0
19-Jun-15,159.53,160.17,159.38,159.87,0
18-Jun-15,158.59,159.47,158.59,159.28,0
17-Jun-15,157.30,159.05,157.30,158.46,0
16-Jun-15,156.06,157.49,155.49,156.67,0
15-Jun-15,159.04,159.08,155.74,155.74,0
12-Jun-15,159.98,160.28,159.04,159.40,0
11-Jun-15,160.85,161.11,159.16,159.61,0
10-Jun-15,158.05,160.37,158.01,159.40,0
9-Jun-15,160.98,161.00,156.04,157.42,0
8-Jun-15,163.18,163.25,160.72,161.00,0
5-Jun-15,163.65,163.73,162.89,163.66,0
4-Jun-15,165.08,165.87,163.96,163.96,0
3-Jun-15,167.08,167.56,165.25,165.42,0
1-Jun-15,167.21,167.44,166.23,167.44,0
29-May-15,168.05,168.88,167.07,167.07,0
28-May-15,169.10,169.50,168.21,168.27,0
27-May-15,170.42,170.76,168.58,168.58,0
26-May-15,169.82,171.92,169.76,170.95,0
25-May-15,170.11,170.18,169.42,169.56,0
22-May-15,169.93,170.38,169.65,169.96,0
