No.	Kode Emiten	Nama Emiten
1	AALI	ASTRA AGRO LESTARI TBK.
2	ADRO	ADARO ENERGY TBK.
3	AKRA	AKR CORPORINDO TBK.
4	ASII	ASTRA INTERNATIONAL TBK.
5	ASRI	ALAM SUTERA REALTY TBK.
6	BSDE	BUMI SERPONG DAMAI TBK.
7	ICBP	INDOFOOD CBP SUKSES MAKMUR TBK.
8	INCO	VALE INDONESIA TBK.
9	INDF	INDOFOOD SUKSES MAKMUR TBK.
10	INTP	INDOCEMENT TUNGGAL PRAKARSA TBK.
11	JSMR	JASA MARGA (PERSERO) TBK.
12	KLBF	KALBE FARMA TBK.
13	LPKR	LIPPO KARAWACI TBK.
14	LPPF	MATAHARI DEPARTMENT STORE TBK.
15	LSIP	PP LONDON SUMATRA INDONESIA TBK.
16	MIKA	PT MITRA KELUARGA KARYASEHAT TBK.
17	PGAS	PERUSAHAAN GAS NEGARA (PERSERO) TBK.
18	PTBA	TAMBANG BATUBARA BUKIT ASAM (PERSERO) TBK.
19	PTPP	PP (PERSERO) TBK.
20	PWON	PAKUWON JATI TBK.
21	SCMA	SURYA CITRA MEDIA TBK.
22	SILO	SILOAM INTERNATIONAL HOSPITALS TBK.
23	SMGR	SEMEN GRESIK (PERSERO) TBK.
24	SMRA	SUMMARECON AGUNG TBK.
25	SSMS	SAWIT SUMBERMAS SARANA TBK.
26	TLKM	TELEKOMUNIKASI INDONESIA (PERSERO) TBK.
27	UNTR	UNITED TRACTORS TBK.
28	UNVR	UNILEVER INDONESIA TBK.
29	WIKA	WIJAYA KARYA (PERSERO) TBK.
30	WSKT	WASKITA KARYA (PERSERO) TBK.