Kode;Nama;Bidang
AALI;Astra Agro Lestari Tbk.;Pertanian
ANJT;Austindo Nusantara Jaya Tbk.;Pertanian
BISI;BISI International Tbk.;Pertanian
BTEK;Bumi Teknokultura Unggul Tbk;Pertanian
BWPT;Eagle High Plantations Tbk.;Pertanian
CPRO;Central Proteina Prima Tbk.;Pertanian
DSFI;Dharma Samudera Fishing Indust;Pertanian
DSNG;Dharma Satya Nusantara Tbk.;Pertanian
GOLL;Golden Plantation Tbk.;Pertanian
GZCO;Gozco Plantations Tbk.;Pertanian
IIKP;Inti Agri Resources Tbk;Pertanian
JAWA;Jaya Agra Wattie Tbk.;Pertanian
LSIP;PP London Sumatra Indonesia Tb;Pertanian
MAGP;Multi Agro Gemilang Plantation;Pertanian
PALM;Provident Agro Tbk.;Pertanian
SGRO;Sampoerna Agro Tbk.;Pertanian
SIMP;Salim Ivomas Pratama Tbk.;Pertanian
SMAR;Smart Tbk.;Pertanian
SSMS;Sawit Sumbermas Sarana Tbk.;Pertanian
TBLA;Tunas Baru Lampung Tbk.;Pertanian
UNSP;Bakrie Sumatra Plantations Tbk;Pertanian
ACST;Acset Indonusa Tbk.;Properti
ADHI;Adhi Karya (Persero) Tbk.;Properti
APLN;Agung Podomoro Land Tbk.;Properti
ASRI;Alam Sutera Realty Tbk.;Properti
BAPA;Bekasi Asri Pemula Tbk.;Properti
BCIP;Bumi Citra Permai Tbk.;Properti
BEST;Bekasi Fajar Industrial Estate;Properti
BIKA;Binakarya Jaya Abadi Tbk.;Properti
BIPP;Bhuwanatala Indah Permai Tbk.;Properti
BKDP;Bukit Darmo Property Tbk;Properti
BKSL;Sentul City Tbk.;Properti
BSDE;Bumi Serpong Damai Tbk.;Properti
COWL;Cowell Development Tbk.;Properti
CTRA;Ciputra Development Tbk.;Properti
CTRP;Ciputra Property Tbk.;Properti
CTRS;Ciputra Surya Tbk.;Properti
DART;Duta Anggada Realty Tbk.;Properti
DGIK;Nusa Konstruksi Enjiniring Tbk;Properti
DILD;Intiland Development Tbk.;Properti
DMAS;Puradelta Lestari Tbk.;Properti
DUTI;Duta Pertiwi Tbk;Properti
ELTY;Bakrieland Development Tbk.;Properti
EMDE;Megapolitan Developments Tbk.;Properti
FMII;Fortune Mate Indonesia Tbk;Properti
GAMA;Gading Development Tbk.;Properti
GMTD;Gowa Makassar Tourism Developm;Properti
GPRA;Perdana Gapuraprima Tbk.;Properti
GWSA;Greenwood Sejahtera Tbk.;Properti
IDPR;Indonesia Pondasi Raya Tbk.;Properti
JKON;Jaya Konstruksi Manggala Prata;Properti
JRPT;Jaya Real Property Tbk.;Properti
KIJA;Kawasan Industri Jababeka Tbk.;Properti
LAMI;Lamicitra Nusantara Tbk.;Properti
LCGP;Eureka Prima Jakarta Tbk.;Properti
LPCK;Lippo Cikarang Tbk;Properti
LPKR;Lippo Karawaci Tbk.;Properti
MDLN;Modernland Realty Tbk.;Properti
MKPI;Metropolitan Kentjana Tbk.;Properti
MMLP;Mega Manunggal Property Tbk.;Properti
MTLA;Metropolitan Land Tbk.;Properti
MTRA;Mitra Pemuda Tbk.;Properti
MTSM;Metro Realty Tbk.;Properti
MYRX;Hanson International Tbk.;Properti
MYRXP;Saham Seri B Hanson Internatio;Properti
NIRO;Nirvana Development Tbk.;Properti
NRCA;Nusa Raya Cipta Tbk.;Properti
OMRE;Indonesia Prima Property Tbk;Properti
PBSA;Paramita Bangun Sarana Tbk.;Properti
PLIN;Plaza Indonesia Realty Tbk.;Properti
PPRO;PP Properti Tbk.;Properti
PTPP;PP (Persero) Tbk.;Properti
PWON;Pakuwon Jati Tbk.;Properti
RBMS;Ristia Bintang Mahkotasejati T;Properti
RDTX;Roda Vivatex Tbk;Properti
RODA;Pikko Land Development Tbk.;Properti
SCBD;Danayasa Arthatama Tbk.;Properti
SMDM;Suryamas Dutamakmur Tbk.;Properti
SMRA;Summarecon Agung Tbk.;Properti
SSIA;Surya Semesta Internusa Tbk.;Properti
TARA;Sitara Propertindo Tbk.;Properti
TOTL;Total Bangun Persada Tbk.;Properti
WIKA;Wijaya Karya (Persero) Tbk.;Properti
WSKT;Waskita Karya (Persero) Tbk.;Properti
AGII;Aneka Gas Industri Tbk.;Dasar Kimia
AKPI;Argha Karya Prima Industry Tbk;Dasar Kimia
ALDO;Alkindo Naratama Tbk.;Dasar Kimia
ALKA;Alakasa Industrindo Tbk;Dasar Kimia
ALMI;Alumindo Light Metal Industry;Dasar Kimia
AMFG;Asahimas Flat Glass Tbk.;Dasar Kimia
APLI;Asiaplast Industries Tbk.;Dasar Kimia
ARNA;Arwana Citramulia Tbk.;Dasar Kimia
BAJA;Saranacentral Bajatama Tbk.;Dasar Kimia
BRNA;Berlina Tbk.;Dasar Kimia
BRPT;Barito Pacific Tbk.;Dasar Kimia
BTON;Betonjaya Manunggal Tbk.;Dasar Kimia
CPIN;Charoen Pokphand Indonesia Tbk;Dasar Kimia
CTBN;Citra Tubindo Tbk.;Dasar Kimia
DAJK;Dwi Aneka Jaya Kemasindo Tbk.;Dasar Kimia
DPNS;Duta Pertiwi Nusantara Tbk.;Dasar Kimia
EKAD;Ekadharma International Tbk.;Dasar Kimia
ETWA;Eterindo Wahanatama Tbk;Dasar Kimia
FASW;Fajar Surya Wisesa Tbk.;Dasar Kimia
FPNI;Lotte Chemical Titan Tbk.;Dasar Kimia
GDST;Gunawan Dianjaya Steel Tbk.;Dasar Kimia
IGAR;Champion Pacific Indonesia Tbk;Dasar Kimia
IKAI;Intikeramik Alamasri Industri;Dasar Kimia
IMPC;Impack Pratama Industri Tbk.;Dasar Kimia
INAI;Indal Aluminium Industry Tbk.;Dasar Kimia
INCF;Indo Komoditi Korpora Tbk.;Dasar Kimia
INCI;Intanwijaya Internasional Tbk;Dasar Kimia
INKP;Indah Kiat Pulp & Paper Tbk.;Dasar Kimia
INRU;Toba Pulp Lestari Tbk.;Dasar Kimia
INTP;Indocement Tunggal Prakarsa Tb;Dasar Kimia
IPOL;Indopoly Swakarsa Industry Tbk;Dasar Kimia
ISSP;Steel Pipe Industry of Indones;Dasar Kimia
JKSW;Jakarta Kyoei Steel Works Tbk.;Dasar Kimia
JPFA;Japfa Comfeed Indonesia Tbk.;Dasar Kimia
JPRS;Jaya Pari Steel Tbk;Dasar Kimia
KBRI;Kertas Basuki Rachmat Indonesi;Dasar Kimia
KDSI;Kedawung Setia Industrial Tbk.;Dasar Kimia
KIAS;Keramika Indonesia Assosiasi T;Dasar Kimia
KRAS;Krakatau Steel (Persero) Tbk.;Dasar Kimia
LION;Lion Metal Works Tbk.;Dasar Kimia
LMSH;Lionmesh Prima Tbk.;Dasar Kimia
MAIN;Malindo Feedmill Tbk.;Dasar Kimia
MLIA;Mulia Industrindo Tbk;Dasar Kimia
NIKL;Pelat Timah Nusantara Tbk.;Dasar Kimia
PICO;Pelangi Indah Canindo Tbk;Dasar Kimia
SIAP;Sekawan Intipratama Tbk;Dasar Kimia
SIMA;Siwani Makmur Tbk;Dasar Kimia
SIPD;Sierad Produce Tbk.;Dasar Kimia
SMBR;Semen Baturaja (Persero) Tbk.;Dasar Kimia
SMCB;Holcim Indonesia Tbk.;Dasar Kimia
SMGR;Semen Indonesia (Persero) Tbk.;Dasar Kimia
SOBI;Sorini Agro Asia Corporindo Tb;Dasar Kimia
SPMA;Suparma Tbk.;Dasar Kimia
SRSN;Indo Acidatama Tbk;Dasar Kimia
SULI;SLJ Global Tbk.;Dasar Kimia
TALF;Tunas Alfin Tbk.;Dasar Kimia
TBMS;Tembaga Mulia Semanan Tbk.;Dasar Kimia
TIRT;Tirta Mahakam Resources Tbk;Dasar Kimia
TKIM;Pabrik Kertas Tjiwi Kimia Tbk.;Dasar Kimia
TOTO;Surya Toto Indonesia Tbk.;Dasar Kimia
TPIA;Chandra Asri Petrochemical Tbk;Dasar Kimia
TRST;Trias Sentosa Tbk.;Dasar Kimia
UNIC;Unggul Indah Cahaya Tbk.;Dasar Kimia
WSBP;Waskita Beton Precast Tbk.;Dasar Kimia
WTON;Wijaya Karya Beton Tbk.;Dasar Kimia
YPAS;Yanaprima Hastapersada Tbk;Dasar Kimia
ADMG;Polychem Indonesia Tbk;Lainnya
AMIN;Ateliers Mecaniques D Indonesi;Lainnya
ARGO;Argo Pantes Tbk;Lainnya
ASII;Astra International Tbk.;Lainnya
AUTO;Astra Otoparts Tbk.;Lainnya
BATA;Sepatu Bata Tbk.;Lainnya
BIMA;Primarindo Asia Infrastructure;Lainnya
BOLT;Garuda Metalindo Tbk.;Lainnya
BRAM;Indo Kordsa Tbk.;Lainnya
CNTB;Saham Seri B ( Centex Tbk );Lainnya
CNTX;Century Textile Industry Tbk.;Lainnya
ERTX;Eratex Djaja Tbk.;Lainnya
ESTI;Ever Shine Tex Tbk.;Lainnya
GDYR;Goodyear Indonesia Tbk.;Lainnya
GJTL;Gajah Tunggal Tbk.;Lainnya
HDTX;Panasia Indo Resources Tbk.;Lainnya
IKBI;Sumi Indo Kabel Tbk.;Lainnya
IMAS;Indomobil Sukses Internasional;Lainnya
INDR;Indo-Rama Synthetics Tbk.;Lainnya
INDS;Indospring Tbk.;Lainnya
JECC;Jembo Cable Company Tbk.;Lainnya
KBLI;KMI Wire & Cable Tbk.;Lainnya
KBLM;Kabelindo Murni Tbk.;Lainnya
KRAH;Grand Kartech Tbk.;Lainnya
LPIN;Multi Prima Sejahtera Tbk;Lainnya
MASA;Multistrada Arah Sarana Tbk.;Lainnya
MYTX;Asia Pacific Investama Tbk.;Lainnya
NIPS;Nipress Tbk.;Lainnya
PBRX;Pan Brothers Tbk.;Lainnya
POLY;Asia Pacific Fibers Tbk;Lainnya
PRAS;Prima Alloy Steel Universal Tb;Lainnya
PTSN;Sat Nusapersada Tbk;Lainnya
RICY;Ricky Putra Globalindo Tbk;Lainnya
SCCO;Supreme Cable Manufacturing &;Lainnya
SMSM;Selamat Sempurna Tbk.;Lainnya
SRIL;Sri Rejeki Isman Tbk.;Lainnya
SSTM;Sunson Textile Manufacture Tbk;Lainnya
STAR;Star Petrochem Tbk.;Lainnya
TFCO;Tifico Fiber Indonesia Tbk.;Lainnya
TRIS;Trisula International Tbk.;Lainnya
UNIT;Nusantara Inti Corpora Tbk;Lainnya
VOKS;Voksel Electric Tbk.;Lainnya
ADRO;Adaro Energy Tbk.;Tambang
ANTM;Aneka Tambang (Persero) Tbk.;Tambang
APEX;Apexindo Pratama Duta Tbk.;Tambang
ARII;Atlas Resources Tbk.;Tambang
ARTI;Ratu Prabu Energi Tbk;Tambang
ATPK;Bara Jaya Internasional Tbk.;Tambang
BIPI;Benakat Integra Tbk.;Tambang
BORN;Borneo Lumbung Energi & Metal;Tambang
BRAU;Berau Coal Energy Tbk.;Tambang
BSSR;Baramulti Suksessarana Tbk.;Tambang
BUMI;Bumi Resources Tbk.;Tambang
BYAN;Bayan Resources Tbk.;Tambang
CITA;Cita Mineral Investindo Tbk.;Tambang
CKRA;Cakra Mineral Tbk.;Tambang
CTTH;Citatah Tbk.;Tambang
DEWA;Darma Henwa Tbk;Tambang
DKFT;Central Omega Resources Tbk.;Tambang
DOID;Delta Dunia Makmur Tbk.;Tambang
DSSA;Dian Swastatika Sentosa Tbk;Tambang
ELSA;Elnusa Tbk.;Tambang
ENRG;Energi Mega Persada Tbk.;Tambang
ESSA;Surya Esa Perkasa Tbk.;Tambang
GEMS;Golden Energy Mines Tbk.;Tambang
GTBO;Garda Tujuh Buana Tbk;Tambang
HRUM;Harum Energy Tbk.;Tambang
INCO;Vale Indonesia Tbk.;Tambang
ITMG;Indo Tambangraya Megah Tbk.;Tambang
KKGI;Resource Alam Indonesia Tbk.;Tambang
MBAP;Mitrabara Adiperdana Tbk.;Tambang
MDKA;Merdeka Copper Gold Tbk.;Tambang
MEDC;Medco Energi Internasional Tbk;Tambang
MITI;Mitra Investindo Tbk.;Tambang
MYOH;Samindo Resources Tbk.;Tambang
PKPK;Perdana Karya Perkasa Tbk;Tambang
PSAB;J Resources Asia Pasifik Tbk.;Tambang
PTBA;Tambang Batubara Bukit Asam (P;Tambang
PTRO;Petrosea Tbk.;Tambang
RUIS;Radiant Utama Interinsco Tbk.;Tambang
SMMT;Golden Eagle Energy Tbk.;Tambang
SMRU;SMR Utama Tbk.;Tambang
TINS;Timah (Persero) Tbk.;Tambang
TKGA;Permata Prima Sakti Tbk.;Tambang
TOBA;Toba Bara Sejahtra Tbk.;Tambang
ADES;Akasha Wira International Tbk.;Konsumsi
AISA;Tiga Pilar Sejahtera Food Tbk.;Konsumsi
ALTO;Tri Banyan Tirta Tbk.;Konsumsi
BUDI;Budi Starch & Sweetener Tbk.;Konsumsi
CEKA;Wilmar Cahaya Indonesia Tbk.;Konsumsi
CINT;Chitose Internasional Tbk.;Konsumsi
DLTA;Delta Djakarta Tbk.;Konsumsi
DVLA;Darya-Varia Laboratoria Tbk.;Konsumsi
GGRM;Gudang Garam Tbk.;Konsumsi
HMSP;H.M. Sampoerna Tbk.;Konsumsi
ICBP;Indofood CBP Sukses Makmur Tbk;Konsumsi
INAF;Indofarma Tbk.;Konsumsi
INDF;Indofood Sukses Makmur Tbk.;Konsumsi
KAEF;Kimia Farma Tbk.;Konsumsi
KICI;Kedaung Indah Can Tbk;Konsumsi
KINO;Kino Indonesia Tbk.;Konsumsi
KLBF;Kalbe Farma Tbk.;Konsumsi
LMPI;Langgeng Makmur Industri Tbk.;Konsumsi
MBTO;Martina Berto Tbk.;Konsumsi
MERK;Merck Tbk.;Konsumsi
MLBI;Multi Bintang Indonesia Tbk.;Konsumsi
MRAT;Mustika Ratu Tbk.;Konsumsi
MYOR;Mayora Indah Tbk.;Konsumsi
PSDN;Prasidha Aneka Niaga Tbk;Konsumsi
PYFA;Pyridam Farma Tbk;Konsumsi
RMBA;Bentoel Internasional Investam;Konsumsi
ROTI;Nippon Indosari Corpindo Tbk.;Konsumsi
SCPI;Merck Sharp Dohme Pharma Tbk.;Konsumsi
SIDO;Industri Jamu dan Farmasi Sido;Konsumsi
SKBM;Sekar Bumi Tbk.;Konsumsi
SKLT;Sekar Laut Tbk.;Konsumsi
SQBB;Taisho Pharmaceutical Indonesi;Konsumsi
SQBI;Taisho Pharmaceutical Indonesi;Konsumsi
STTP;Siantar Top Tbk.;Konsumsi
TCID;Mandom Indonesia Tbk.;Konsumsi
TSPC;Tempo Scan Pacific Tbk.;Konsumsi
ULTJ;Ultra Jaya Milk Industry & Tra;Konsumsi
UNVR;Unilever Indonesia Tbk.;Konsumsi
WIIM;Wismilak Inti Makmur Tbk.;Konsumsi
APOL;Arpeni Pratama Ocean Line Tbk.;Transportasi
ASSA;Adi Sarana Armada Tbk.;Transportasi
BALI;Bali Towerindo Sentra Tbk.;Transportasi
