Kode;Nama;Bidang
BBRM;Pelayaran Nasional Bina Buana;Transportasi
BIRD;Blue Bird Tbk.;Transportasi
BLTA;Berlian Laju Tanker Tbk;Transportasi
BTEL;Bakrie Telecom Tbk.;Transportasi
BUKK;Bukaka Teknik Utama Tbk.;Transportasi
BULL;Buana Listya Tama Tbk.;Transportasi
CANI;Capitol Nusantara Indonesia Tb;Transportasi
CASS;Cardig Aero Services Tbk.;Transportasi
CMNP;Citra Marga Nusaphala Persada;Transportasi
CPGT;Citra Maharlika Nusantara Corp;Transportasi
EXCL;XL Axiata Tbk.;Transportasi
FREN;Smartfren Telecom Tbk.;Transportasi
GIAA;Garuda Indonesia (Persero) Tbk;Transportasi
HITS;Humpuss Intermoda Transportasi;Transportasi
IATA;Indonesia Transport & Infrastr;Transportasi
IBST;Inti Bangun Sejahtera Tbk.;Transportasi
INDX;Tanah Laut Tbk;Transportasi
INDY;Indika Energy Tbk.;Transportasi
INVS;Inovisi Infracom Tbk.;Transportasi
ISAT;Indosat Tbk.;Transportasi
JSMR;Jasa Marga (Persero) Tbk.;Transportasi
KARW;ICTSI Jasa Prima Tbk.;Transportasi
KOPI;Mitra Energi Persada Tbk.;Transportasi
LAPD;Leyand International Tbk.;Transportasi
LEAD;Logindo Samudramakmur Tbk.;Transportasi
LRNA;Eka Sari Lorena Transport Tbk.;Transportasi
MBSS;Mitrabahtera Segara Sejati Tbk;Transportasi
META;Nusantara Infrastructure Tbk.;Transportasi
MIRA;Mitra International Resources;Transportasi
NELY;Pelayaran Nelly Dwi Putri Tbk.;Transportasi
OASA;Protech Mitra Perkasa Tbk.;Transportasi
PGAS;Perusahaan Gas Negara (Persero;Transportasi
POWR;Cikarang Listrindo Tbk.;Transportasi
PTIS;Indo Straits Tbk.;Transportasi
RAJA;Rukun Raharja Tbk.;Transportasi
RIGS;Rig Tenders Indonesia Tbk.;Transportasi
SAFE;Steady Safe Tbk;Transportasi
SDMU;Sidomulyo Selaras Tbk.;Transportasi
SHIP;Sillo Maritime Perdana Tbk.;Transportasi
SMDR;Samudera Indonesia Tbk.;Transportasi
SOCI;Soechi Lines Tbk.;Transportasi
SUPR;Solusi Tunas Pratama Tbk.;Transportasi
TAXI;Express Transindo Utama Tbk.;Transportasi
TBIG;Tower Bersama Infrastructure T;Transportasi
TLKM;Telekomunikasi Indonesia (Pers;Transportasi
TMAS;Pelayaran Tempuran Emas Tbk.;Transportasi
TOWR;Sarana Menara Nusantara Tbk.;Transportasi
TPMA;Trans Power Marine Tbk.;Transportasi
TRAM;Trada Maritime Tbk.;Transportasi
TRUB;Truba Alam Manunggal Engineeri;Transportasi
WEHA;WEHA Transportasi Indonesia Tb;Transportasi
WINS;Wintermar Offshore Marine Tbk.;Transportasi
ZBRA;Zebra Nusantara Tbk;Transportasi
ABDA;Asuransi Bina Dana Arta Tbk.;Keuangan
ADMF;Adira Dinamika Multi Finance T;Keuangan
AGRO;Bank Rakyat Indonesia Agroniag;Keuangan
AGRS;Bank Agris Tbk.;Keuangan
AHAP;Asuransi Harta Aman Pratama Tb;Keuangan
AKSI;Majapahit Inti Corpora Tbk.;Keuangan
AMAG;Asuransi Multi Artha Guna Tbk.;Keuangan
APIC;Pacific Strategic Financial Tb;Keuangan
ARTO;Bank Artos Indonesia Tbk.;Keuangan
ASBI;Asuransi Bintang Tbk.;Keuangan
ASDM;Asuransi Dayin Mitra Tbk.;Keuangan
ASJT;Asuransi Jasa Tania Tbk.;Keuangan
ASMI;Asuransi Kresna Mitra Tbk.;Keuangan
ASRM;Asuransi Ramayana Tbk.;Keuangan
BABP;Bank MNC Internasional Tbk.;Keuangan
BACA;Bank Capital Indonesia Tbk.;Keuangan
BBCA;Bank Central Asia Tbk.;Keuangan
BBHI;Bank Harda Internasional Tbk.;Keuangan
BBKP;Bank Bukopin Tbk.;Keuangan
BBLD;Buana Finance Tbk.;Keuangan
BBMD;Bank Mestika Dharma Tbk.;Keuangan
BBNI;Bank Negara Indonesia (Persero;Keuangan
BBNP;Bank Nusantara Parahyangan Tbk;Keuangan
BBRI;Bank Rakyat Indonesia (Persero;Keuangan
BBTN;Bank Tabungan Negara (Persero);Keuangan
BBYB;Bank Yudha Bhakti Tbk.;Keuangan
BCAP;MNC Kapital Indonesia Tbk.;Keuangan
BCIC;Bank JTrust Indonesia Tbk.;Keuangan
BDMN;Bank Danamon Indonesia Tbk.;Keuangan
BEKS;Bank Pundi Indonesia Tbk.;Keuangan
BFIN;BFI Finance Indonesia Tbk.;Keuangan
BGTG;Bank Ganesha Tbk.;Keuangan
BINA;Bank Ina Perdana Tbk.;Keuangan
BJBR;Bank Pembangunan Daerah Jawa B;Keuangan
BJTM;Bank Pembangunan Daerah Jawa T;Keuangan
BKSW;Bank QNB Indonesia Tbk.;Keuangan
BMAS;Bank Maspion Indonesia Tbk.;Keuangan
BMRI;Bank Mandiri (Persero) Tbk.;Keuangan
BNBA;Bank Bumi Arta Tbk.;Keuangan
BNII;Bank Maybank Indonesia Tbk.;Keuangan
BNLI;Bank Permata Tbk.;Keuangan
BPFI;Batavia Prosperindo Finance Tb;Keuangan
BPII;Batavia Prosperindo Internasio;Keuangan
BSIM;Bank Sinarmas Tbk.;Keuangan
BSWD;Bank Of India Indonesia Tbk.;Keuangan
BTPN;Bank Tabungan Pensiunan Nasion;Keuangan
BVIC;Bank Victoria International Tb;Keuangan
CASA;Capital Financial Indonesia Tb;Keuangan
CFIN;Clipan Finance Indonesia Tbk.;Keuangan
DEFI;Danasupra Erapacific Tbk;Keuangan
DNAR;Bank Dinar Indonesia Tbk.;Keuangan
GSMF;Equity Development Investment;Keuangan
HADE;HD Capital Tbk;Keuangan
HDFA;Radana Bhaskara Finance Tbk.;Keuangan
IBFN;Intan Baruprana Finance Tbk.;Keuangan
IMJS;Indomobil Multi Jasa Tbk.;Keuangan
INPC;Bank Artha Graha Internasional;Keuangan
KREN;Kresna Graha Investama Tbk.;Keuangan
LPGI;Lippo General Insurance Tbk.;Keuangan
LPPS;Lippo Securities Tbk.;Keuangan
MAYA;Bank Mayapada Internasional Tb;Keuangan
MCOR;Bank Windu Kentjana Internatio;Keuangan
MEGA;Bank Mega Tbk.;Keuangan
MFIN;Mandala Multifinance Tbk.;Keuangan
MGNA;Magna Finance Tbk.;Keuangan
MREI;Maskapai Reasuransi Indonesia;Keuangan
MTFN;Capitalinc Investment Tbk.;Keuangan
NAGA;Bank Mitraniaga Tbk.;Keuangan
NISP;Bank OCBC NISP Tbk.;Keuangan
NOBU;Bank Nationalnobu Tbk.;Keuangan
PADI;Minna Padi Investama Tbk.;Keuangan
PANS;Panin Sekuritas Tbk.;Keuangan
PEGE;Panca Global Securities Tbk.;Keuangan
PNBN;Bank Pan Indonesia Tbk;Keuangan
PNBS;Bank Panin Syariah Tbk.;Keuangan
PNIN;Paninvest Tbk.;Keuangan
PNLF;Panin Financial Tbk.;Keuangan
RELI;Reliance Securities Tbk;Keuangan
SDRA;Bank Woori Saudara Indonesia 1;Keuangan
SMMA;Sinarmas Multiartha Tbk.;Keuangan
TIFA;Tifa Finance Tbk.;Keuangan
TRIM;Trimegah Sekuritas Indonesia T;Keuangan
TRUS;Trust Finance Indonesia Tbk;Keuangan
VICO;Victoria Investama Tbk.;Keuangan
VINS;Victoria Insurance Tbk.;Keuangan
VRNA;Verena Multi Finance Tbk.;Keuangan
WOMF;Wahana Ottomitra Multiartha Tb;Keuangan
YULE;Yulie Sekurindo Tbk;Keuangan
ABBA;Mahaka Media Tbk.;Perdagangan
ABMM;ABM Investama Tbk.;Perdagangan
ACES;Ace Hardware Indonesia Tbk.;Perdagangan
AIMS;Akbar Indo Makmur Stimec Tbk;Perdagangan
AKKU;Alam Karya Unggul Tbk.;Perdagangan
AKRA;AKR Corporindo Tbk.;Perdagangan
AMRT;Sumber Alfaria Trijaya Tbk.;Perdagangan
APII;Arita Prima Indonesia Tbk.;Perdagangan
ARTA;Arthavest Tbk;Perdagangan
ASGR;Astra Graphia Tbk.;Perdagangan
ATIC;Anabatic Technologies Tbk.;Perdagangan
BAYU;Bayu Buana Tbk;Perdagangan
BHIT;MNC Investama Tbk.;Perdagangan
BLTZ;Graha Layar Prima Tbk.;Perdagangan
BMSR;Bintang Mitra Semestaraya Tbk;Perdagangan
BMTR;Global Mediacom Tbk.;Perdagangan
BNBR;Bakrie & Brothers Tbk;Perdagangan
BRMS;Bumi Resources Minerals Tbk.;Perdagangan
BUVA;Bukit Uluwatu Villa Tbk.;Perdagangan
CENT;Centratama Telekomunikasi Indo;Perdagangan
CLPI;Colorpak Indonesia Tbk.;Perdagangan
CMPP;Rimau Multi Putra Pratama Tbk.;Perdagangan
CNKO;Exploitasi Energi Indonesia Tb;Perdagangan
CSAP;Catur Sentosa Adiprana Tbk.;Perdagangan
DAYA;Duta Intidaya Tbk.;Perdagangan
DNET;Indoritel Makmur Internasional;Perdagangan
DPUM;Dua Putra Utama Makmur Tbk.;Perdagangan
DYAN;Dyandra Media International Tb;Perdagangan
ECII;Electronic City Indonesia Tbk.;Perdagangan
EMTK;Elang Mahkota Teknologi Tbk.;Perdagangan
EPMT;Enseval Putera Megatrading Tbk;Perdagangan
ERAA;Erajaya Swasembada Tbk.;Perdagangan
FAST;Fast Food Indonesia Tbk.;Perdagangan
FISH;FKS Multi Agro Tbk.;Perdagangan
FORU;Fortune Indonesia Tbk;Perdagangan
GEMA;Gema Grahasarana Tbk.;Perdagangan
GLOB;Global Teleshop Tbk.;Perdagangan
GMCW;Grahamas Citrawisata Tbk.;Perdagangan
GOLD;Visi Telekomunikasi Infrastruk;Perdagangan
GREN;Evergreen Invesco Tbk.;Perdagangan
HERO;Hero Supermarket Tbk.;Perdagangan
HEXA;Hexindo Adiperkasa Tbk.;Perdagangan
HOME;Hotel Mandarine Regency Tbk.;Perdagangan
HOTL;Saraswati Griya Lestari Tbk.;Perdagangan
ICON;Island Concepts Indonesia Tbk.;Perdagangan
INPP;Indonesian Paradise Property T;Perdagangan
INTA;Intraco Penta Tbk.;Perdagangan
INTD;Inter Delta Tbk;Perdagangan
ITMA;Sumber Energi Andalan Tbk.;Perdagangan
ITTG;Leo Investments Tbk.;Perdagangan
JGLE;Graha Andrasentra Propertindo;Perdagangan
JIHD;Jakarta International Hotels &;Perdagangan
JSPT;Jakarta Setiabudi Internasiona;Perdagangan
JTPE;Jasuindo Tiga Perkasa Tbk.;Perdagangan
KBLV;First Media Tbk.;Perdagangan
KOBX;Kobexindo Tractors Tbk.;Perdagangan
KOIN;Kokoh Inti Arebama Tbk;Perdagangan
KONI;Perdana Bangun Pusaka Tbk;Perdagangan
KPIG;MNC Land Tbk.;Perdagangan
LINK;Link Net Tbk.;Perdagangan
LMAS;Limas Indonesia Makmur Tbk;Perdagangan
LPLI;Star Pacific Tbk;Perdagangan
LPPF;Matahari Department Store Tbk.;Perdagangan
LTLS;Lautan Luas Tbk.;Perdagangan
MAMI;Mas Murni Indonesia Tbk;Perdagangan
MAMIP;Mas Murni Tbk (Saham Preferen);Perdagangan
MAPI;Mitra Adiperkasa Tbk.;Perdagangan
MARI;Mahaka Radio Integra Tbk.;Perdagangan
MDIA;Intermedia Capital Tbk.;Perdagangan
MDRN;Modern Internasional Tbk.;Perdagangan
MFMI;Multifiling Mitra Indonesia Tb;Perdagangan
MICE;Multi Indocitra Tbk.;Perdagangan
MIDI;Midi Utama Indonesia Tbk.;Perdagangan
MIKA;Mitra Keluarga Karyasehat Tbk.;Perdagangan
MKNT;Mitra Komunikasi Nusantara Tbk;Perdagangan
MLPL;Multipolar Tbk.;Perdagangan
MLPT;Multipolar Technology Tbk.;Perdagangan
MNCN;Media Nusantara Citra Tbk.;Perdagangan
MPMX;Mitra Pinasthika Mustika Tbk.;Perdagangan
MPPA;Matahari Putra Prima Tbk.;Perdagangan
MSKY;MNC Sky Vision Tbk.;Perdagangan
MTDL;Metrodata Electronics Tbk.;Perdagangan
OCAP;Onix Capital Tbk.;Perdagangan
OKAS;Ancora Indonesia Resources Tbk;Perdagangan
PANR;Panorama Sentrawisata Tbk.;Perdagangan
PDES;Destinasi Tirta Nusantara Tbk;Perdagangan
PGLI;Pembangunan Graha Lestari Inda;Perdagangan
PJAA;Pembangunan Jaya Ancol Tbk.;Perdagangan
PLAS;Polaris Investama Tbk;Perdagangan
PNSE;Pudjiadi & Sons Tbk.;Perdagangan
POOL;Pool Advista Indonesia Tbk.;Perdagangan
PSKT;Red Planet Indonesia Tbk.;Perdagangan
PTSP;Pioneerindo Gourmet Internatio;Perdagangan
PUDP;Pudjiadi Prestige Tbk.;Perdagangan
RALS;Ramayana Lestari Sentosa Tbk.;Perdagangan
RANC;Supra Boga Lestari Tbk.;Perdagangan
RIMO;Rimo International Lestari Tbk;Perdagangan
SAME;Sarana Meditama Metropolitan T;Perdagangan
SCMA;Surya Citra Media Tbk.;Perdagangan
SDPC;Millennium Pharmacon Internati;Perdagangan
SHID;Hotel Sahid Jaya International;Perdagangan
SILO;Siloam International Hospitals;Perdagangan
SKYB;Skybee Tbk.;Perdagangan
SONA;Sona Topas Tourism Industry Tb;Perdagangan
SQMI;Renuka Coalindo Tbk.;Perdagangan
SRAJ;Sejahteraraya Anugrahjaya Tbk.;Perdagangan
SRTG;Saratoga Investama Sedaya Tbk.;Perdagangan
SUGI;Sugih Energy Tbk.;Perdagangan
TELE;Tiphone Mobile Indonesia Tbk.;Perdagangan
TGKA;Tigaraksa Satria Tbk.;Perdagangan
TIRA;Tira Austenite Tbk;Perdagangan
TMPI;Sigmagold Inti Perkasa Tbk.;Perdagangan
TMPO;Tempo Intimedia Tbk.;Perdagangan
TRIL;Triwira Insanlestari Tbk.;Perdagangan
TRIO;Trikomsel Oke Tbk.;Perdagangan
TURI;Tunas Ridean Tbk.;Perdagangan
UNTR;United Tractors Tbk.;Perdagangan
VIVA;Visi Media Asia Tbk.;Perdagangan
WAPO;Wahana Pronatural Tbk.;Perdagangan
WICO;Wicaksana Overseas Internation;Perdagangan
